supplier_id,supplier_name,product_type,inventory_count,delivery_status,delivery_days,warehouse_location,shipment_cost,order_quantity,timestamp
S38,Mahindra Logistics,EV Battery,294,Delivered,12,New York,2269,61,2026-05-11 22:07:21.197928
S39,Continental Supply,Sensor Module,413,Delayed,10,Toronto,1633,65,2026-04-23 22:07:21.197928
S40,Mahindra Logistics,EV Battery,307,Delivered,1,California,1642,23,2026-04-17 22:07:21.197928
S41,Continental Supply,EV Battery,246,In Transit,8,New York,6343,10,2026-04-22 22:07:21.197928
S42,Tata Components,Sensor Module,65,In Transit,1,Chicago,2658,96,2026-05-17 22:07:21.197928
S43,Tesla Parts Ltd,Motor Controller,278,In Transit,4,Toronto,8338,42,2026-04-28 22:07:21.197928
S44,Tata Components,Motor Controller,445,Delivered,14,Chicago,1668,100,2026-05-03 22:07:21.197928
S45,Tesla Parts Ltd,Tyre,463,Delayed,4,Dallas,5590,37,2026-04-29 22:07:21.197928
S46,Continental Supply,Tyre,323,In Transit,2,Dallas,7312,65,2026-05-17 22:07:21.197928
S47,Bosch Mobility,Tyre,241,In Transit,6,Dallas,2767,82,2026-05-03 22:07:21.197928
S48,Mahindra Logistics,Brake System,374,Delayed,15,Toronto,4771,56,2026-04-27 22:07:21.197928
S49,Mahindra Logistics,EV Battery,355,Delivered,9,Toronto,5770,78,2026-04-17 22:07:21.197928
S50,Tata Components,Tyre,197,Delayed,7,Toronto,6340,90,2026-04-20 22:07:21.197928
S51,Tesla Parts Ltd,EV Battery,457,In Transit,12,Dallas,5575,69,2026-04-21 22:07:21.197928
S52,Tesla Parts Ltd,Sensor Module,303,Delivered,14,Toronto,4327,64,2026-05-05 22:07:21.197928
S53,Continental Supply,Motor Controller,183,In Transit,1,Dallas,9859,81,2026-04-22 22:07:21.197928
S54,Tata Components,Brake System,138,Delivered,3,Dallas,8523,61,2026-04-24 22:07:21.197928
S55,Tata Components,Tyre,432,Delayed,1,California,5711,49,2026-04-19 22:07:21.197928
S56,Mahindra Logistics,Sensor Module,327,Delayed,15,Dallas,5567,84,2026-05-01 22:07:21.197928
S57,Tata Components,EV Battery,417,Delayed,14,New York,1713,29,2026-05-01 22:07:21.197928
S58,Mahindra Logistics,Brake System,177,Delivered,3,Toronto,3631,22,2026-05-02 22:07:21.197928
S59,Tata Components,Brake System,267,In Transit,12,California,4180,32,2026-04-29 22:07:21.197928
S60,Tata Components,Sensor Module,239,Delayed,6,New York,3107,58,2026-04-20 22:07:21.197928
S61,Tata Components,EV Battery,338,Delivered,1,Toronto,3305,17,2026-05-03 22:07:21.197928
S62,Tata Components,EV Battery,184,Delivered,8,California,7507,22,2026-05-11 22:07:21.197928
S63,Continental Supply,Tyre,498,Delivered,11,Dallas,2753,99,2026-05-02 22:07:21.197928
S64,Continental Supply,Tyre,222,Delivered,11,California,4379,85,2026-04-29 22:07:21.197928
S65,Tata Components,Sensor Module,256,Delivered,10,Chicago,8837,94,2026-04-25 22:07:21.197928
S66,Tesla Parts Ltd,Brake System,445,Delivered,15,Toronto,4049,41,2026-05-05 22:07:21.197928
S67,Bosch Mobility,Sensor Module,240,In Transit,11,Dallas,7888,87,2026-04-27 22:07:21.197928
S68,Continental Supply,Sensor Module,281,In Transit,8,Toronto,7849,60,2026-04-30 22:07:21.197928
S69,Bosch Mobility,Brake System,175,Delivered,7,Toronto,1213,52,2026-04-22 22:07:21.197928
S70,Tesla Parts Ltd,Brake System,56,Delivered,13,Dallas,7558,57,2026-04-29 22:07:21.197928
S71,Tata Components,EV Battery,295,Delivered,3,New York,8378,40,2026-05-15 22:07:21.197928
S72,Continental Supply,EV Battery,486,In Transit,3,California,2783,33,2026-05-10 22:07:21.197928
S73,Tata Components,Brake System,130,Delivered,12,Toronto,3930,59,2026-05-16 22:07:21.197928
S74,Bosch Mobility,Motor Controller,443,Delayed,7,New York,6963,24,2026-04-25 22:07:21.197928
S75,Tesla Parts Ltd,Brake System,455,Delivered,9,California,2045,76,2026-05-04 22:07:21.197928
S76,Tata Components,Tyre,95,Delivered,15,California,5607,88,2026-05-11 22:07:21.197928
S77,Mahindra Logistics,Brake System,443,Delayed,10,Toronto,9231,19,2026-05-13 22:07:21.197928
S78,Continental Supply,EV Battery,289,Delayed,5,Dallas,8826,89,2026-04-17 22:07:21.197928
S79,Tata Components,Motor Controller,139,In Transit,3,Chicago,9787,45,2026-05-01 22:07:21.197928
S80,Bosch Mobility,Brake System,435,Delivered,7,Chicago,6421,71,2026-05-16 22:07:21.197928
S81,Tesla Parts Ltd,EV Battery,490,Delivered,1,Dallas,7968,30,2026-05-14 22:07:21.197928
S82,Bosch Mobility,Motor Controller,419,Delayed,8,Toronto,1912,64,2026-04-25 22:07:21.197928
S83,Bosch Mobility,Sensor Module,255,Delayed,4,Chicago,3027,33,2026-04-24 22:07:21.197928
S84,Tata Components,Brake System,68,In Transit,11,New York,4121,90,2026-05-04 22:07:21.197928
S85,Bosch Mobility,Tyre,311,Delayed,3,Dallas,6648,76,2026-04-28 22:07:21.197928
S86,Tesla Parts Ltd,Sensor Module,320,Delayed,11,Chicago,9007,20,2026-05-07 22:07:21.197928
S87,Continental Supply,Brake System,217,Delayed,7,Dallas,2819,16,2026-05-06 22:07:21.197928
S88,Mahindra Logistics,Tyre,64,Delivered,15,Chicago,4145,96,2026-04-30 22:07:21.197928
S89,Continental Supply,Sensor Module,270,Delayed,15,Dallas,6470,28,2026-05-04 22:07:21.197928
S90,Continental Supply,Motor Controller,78,Delayed,5,Dallas,1850,72,2026-04-26 22:07:21.197928
S91,Bosch Mobility,Motor Controller,209,Delivered,8,Dallas,6370,43,2026-04-18 22:07:21.197928
S92,Tata Components,EV Battery,84,Delivered,13,California,1121,38,2026-04-18 22:07:21.197928
S93,Bosch Mobility,Motor Controller,317,In Transit,7,Chicago,7107,96,2026-05-04 22:07:21.197928
S94,Mahindra Logistics,Brake System,204,Delivered,2,Dallas,9896,72,2026-04-27 22:07:21.197928
S95,Continental Supply,Sensor Module,218,Delivered,3,Dallas,6067,46,2026-04-26 22:07:21.197928
S96,Mahindra Logistics,Brake System,193,Delayed,1,New York,3161,11,2026-05-14 22:07:21.197928
S97,Continental Supply,Sensor Module,55,Delivered,5,Toronto,8904,16,2026-04-23 22:07:21.197928
S98,Tata Components,Tyre,92,Delivered,15,California,7490,97,2026-04-17 22:07:21.197928
S99,Continental Supply,Tyre,198,Delivered,8,New York,8016,99,2026-04-22 22:07:21.197928
S100,Mahindra Logistics,Tyre,420,Delivered,7,Dallas,6808,99,2026-05-08 22:07:21.197928
S101,Bosch Mobility,Motor Controller,93,In Transit,6,Toronto,9471,37,2026-04-22 22:07:21.197928
S102,Tesla Parts Ltd,Motor Controller,418,Delivered,13,California,6925,57,2026-04-30 22:07:21.197928
S103,Tata Components,Sensor Module,464,Delayed,2,New York,1124,81,2026-04-20 22:07:21.197928
S104,Tesla Parts Ltd,Brake System,260,Delayed,14,Chicago,9598,98,2026-04-23 22:07:21.197928
S105,Mahindra Logistics,Sensor Module,407,Delayed,13,Toronto,2140,90,2026-04-23 22:07:21.197928
S106,Tata Components,EV Battery,132,Delayed,1,California,5799,82,2026-05-04 22:07:21.197928
S107,Bosch Mobility,Brake System,160,Delayed,4,New York,6156,94,2026-05-13 22:07:21.197928
S108,Tata Components,Sensor Module,102,Delayed,8,Dallas,5276,10,2026-04-24 22:07:21.197928
S109,Continental Supply,Motor Controller,310,Delayed,8,Chicago,3020,44,2026-04-21 22:07:21.197928
S110,Tata Components,Brake System,342,Delivered,9,California,1655,29,2026-05-13 22:07:21.197928
S111,Tesla Parts Ltd,Brake System,469,In Transit,2,Toronto,4498,39,2026-05-05 22:07:21.197928
S112,Bosch Mobility,Sensor Module,500,Delivered,6,New York,1317,100,2026-04-22 22:07:21.197928
S113,Tesla Parts Ltd,EV Battery,127,Delivered,7,Chicago,3046,22,2026-04-17 22:07:21.197928
S114,Bosch Mobility,EV Battery,352,Delivered,5,Chicago,8910,11,2026-04-19 22:07:21.197928
S115,Mahindra Logistics,Tyre,183,In Transit,6,Chicago,9575,69,2026-05-13 22:07:21.197928
S116,Tata Components,Tyre,50,In Transit,3,Chicago,7581,51,2026-05-14 22:07:21.197928
S117,Tesla Parts Ltd,Brake System,64,Delivered,6,Chicago,8058,57,2026-04-27 22:07:21.197928
S118,Tata Components,Sensor Module,352,Delivered,8,Toronto,1657,16,2026-05-02 22:07:21.197928
S119,Mahindra Logistics,Tyre,276,In Transit,9,Dallas,1183,90,2026-05-10 22:07:21.197928
S120,Tata Components,Sensor Module,279,Delayed,13,California,9321,94,2026-05-01 22:07:21.197928
S121,Tata Components,Brake System,68,Delayed,3,Toronto,1103,59,2026-04-27 22:07:21.197928
S122,Tesla Parts Ltd,EV Battery,214,In Transit,12,California,3905,55,2026-05-13 22:07:21.197928
S123,Mahindra Logistics,Motor Controller,393,In Transit,9,Chicago,5834,78,2026-05-04 22:07:21.197928
S124,Bosch Mobility,Sensor Module,267,Delayed,12,Dallas,2749,68,2026-05-06 22:07:21.197928
S125,Bosch Mobility,EV Battery,351,Delayed,6,California,3478,92,2026-05-12 22:07:21.197928
S126,Continental Supply,Brake System,382,Delayed,5,Dallas,8298,81,2026-05-10 22:07:21.197928
S127,Mahindra Logistics,Motor Controller,204,In Transit,10,Dallas,7781,41,2026-05-05 22:07:21.197928
S128,Mahindra Logistics,Sensor Module,305,In Transit,15,New York,4086,90,2026-05-01 22:07:21.197928
S129,Bosch Mobility,Brake System,106,In Transit,9,California,5313,26,2026-05-07 22:07:21.197928
S130,Bosch Mobility,Brake System,246,Delivered,3,Dallas,5335,23,2026-05-17 22:07:21.197928
S131,Tata Components,Motor Controller,458,Delayed,1,California,3755,55,2026-04-23 22:07:21.197928
S132,Continental Supply,EV Battery,342,Delayed,1,Chicago,5424,30,2026-05-08 22:07:21.197928
S133,Mahindra Logistics,Motor Controller,101,Delivered,2,Dallas,5677,35,2026-04-18 22:07:21.197928
S134,Bosch Mobility,Sensor Module,372,Delivered,4,California,2671,41,2026-04-19 22:07:21.197928
S135,Continental Supply,Tyre,422,Delivered,5,Chicago,7900,39,2026-04-25 22:07:21.197928
S136,Continental Supply,Brake System,84,Delayed,13,New York,8292,85,2026-05-06 22:07:21.197928
S137,Continental Supply,Motor Controller,207,Delayed,6,New York,8395,41,2026-04-18 22:07:21.197928
S138,Bosch Mobility,Motor Controller,242,Delayed,4,Dallas,4468,45,2026-05-15 22:07:21.197928
S139,Tesla Parts Ltd,Motor Controller,375,Delayed,11,Dallas,1209,12,2026-05-09 22:07:21.197928
S140,Bosch Mobility,Brake System,249,Delayed,14,Chicago,5205,71,2026-05-02 22:07:21.197928
S141,Tata Components,Tyre,179,Delayed,15,California,5796,27,2026-05-12 22:07:21.197928
S142,Tata Components,Tyre,301,Delayed,11,New York,7059,26,2026-05-05 22:07:21.197928
S143,Continental Supply,Brake System,269,Delivered,12,California,7416,97,2026-05-13 22:07:21.197928
S144,Tesla Parts Ltd,Brake System,206,Delivered,9,Dallas,4629,13,2026-05-09 22:07:21.197928
S145,Tesla Parts Ltd,Motor Controller,265,Delayed,2,New York,3475,50,2026-04-17 22:07:21.197928
S146,Mahindra Logistics,Brake System,481,Delayed,6,Dallas,8928,69,2026-04-28 22:07:21.197928
S147,Mahindra Logistics,Brake System,402,Delayed,15,Chicago,3258,32,2026-04-30 22:07:21.197928
S148,Tesla Parts Ltd,Motor Controller,445,Delivered,10,Toronto,8138,100,2026-05-09 22:07:21.197928
S149,Tata Components,Tyre,428,Delayed,2,Toronto,2293,18,2026-04-21 22:07:21.197928
S150,Continental Supply,EV Battery,51,Delayed,6,Dallas,8956,42,2026-05-05 22:07:21.197928
S151,Mahindra Logistics,Brake System,309,In Transit,3,New York,2243,41,2026-05-15 22:07:21.197928
S152,Mahindra Logistics,Motor Controller,135,In Transit,9,California,4902,88,2026-05-13 22:07:21.197928
S153,Tesla Parts Ltd,EV Battery,489,In Transit,13,Toronto,7929,38,2026-05-11 22:07:21.197928
S154,Continental Supply,Tyre,108,Delayed,9,Dallas,9215,54,2026-04-29 22:07:21.197928
S155,Tesla Parts Ltd,Tyre,469,Delayed,15,California,2488,33,2026-05-10 22:07:21.197928
S156,Bosch Mobility,Motor Controller,428,In Transit,12,New York,7120,62,2026-05-17 22:07:21.197928
S157,Continental Supply,EV Battery,66,Delayed,13,New York,6745,38,2026-04-27 22:07:21.197928
S158,Tesla Parts Ltd,Sensor Module,381,Delayed,8,Chicago,6889,11,2026-05-02 22:07:21.197928
S159,Bosch Mobility,Motor Controller,331,Delayed,2,Dallas,6389,75,2026-05-01 22:07:21.197928
S160,Mahindra Logistics,EV Battery,305,Delivered,11,Dallas,8847,100,2026-05-05 22:07:21.197928
S161,Bosch Mobility,Tyre,367,In Transit,7,Chicago,3249,82,2026-05-11 22:07:21.197928
S162,Tesla Parts Ltd,Brake System,234,Delayed,10,California,5415,68,2026-05-05 22:07:21.197928
S163,Tata Components,Motor Controller,268,Delayed,15,Dallas,2352,12,2026-05-16 22:07:21.197928
S164,Mahindra Logistics,Brake System,423,In Transit,9,Toronto,3383,45,2026-04-18 22:07:21.197928
S165,Mahindra Logistics,Tyre,178,In Transit,9,Dallas,5453,27,2026-05-07 22:07:21.197928
S166,Continental Supply,EV Battery,72,Delivered,3,Chicago,4340,29,2026-04-26 22:07:21.197928
S167,Continental Supply,EV Battery,487,In Transit,9,Toronto,6026,54,2026-05-05 22:07:21.197928
S168,Continental Supply,EV Battery,374,Delayed,2,Toronto,1107,55,2026-05-01 22:07:21.197928
S169,Continental Supply,Motor Controller,237,In Transit,1,New York,4618,41,2026-05-10 22:07:21.197928
S170,Mahindra Logistics,Motor Controller,231,Delayed,6,New York,9223,70,2026-05-17 22:07:21.197928
S171,Bosch Mobility,Sensor Module,88,In Transit,1,Chicago,2484,84,2026-05-08 22:07:21.197928
S172,Tesla Parts Ltd,Motor Controller,470,Delayed,9,Toronto,9121,33,2026-04-25 22:07:21.197928
S173,Mahindra Logistics,Sensor Module,356,Delivered,5,California,2197,37,2026-05-12 22:07:21.197928
S174,Mahindra Logistics,Tyre,119,In Transit,7,California,6540,42,2026-05-07 22:07:21.197928
S175,Tata Components,Brake System,52,In Transit,15,Toronto,8789,43,2026-05-14 22:07:21.197928
S176,Tata Components,Brake System,57,Delivered,4,California,1472,35,2026-05-08 22:07:21.197928
S177,Bosch Mobility,Sensor Module,92,Delivered,10,Toronto,5356,12,2026-05-09 22:07:21.197928
S178,Continental Supply,Brake System,229,In Transit,8,New York,4663,49,2026-05-08 22:07:21.197928
S179,Mahindra Logistics,Motor Controller,136,In Transit,9,Toronto,2424,27,2026-05-08 22:07:21.197928
S180,Bosch Mobility,Motor Controller,335,In Transit,15,Chicago,5122,44,2026-04-18 22:07:21.197928
S181,Mahindra Logistics,Sensor Module,67,Delayed,4,Dallas,9625,100,2026-05-14 22:07:21.197928
S182,Continental Supply,Tyre,178,Delivered,3,Dallas,3655,80,2026-05-10 22:07:21.197928
S183,Mahindra Logistics,Tyre,169,Delivered,8,California,7821,82,2026-04-20 22:07:21.197928
S184,Tesla Parts Ltd,Sensor Module,278,In Transit,1,California,4978,96,2026-04-23 22:07:21.197928
S185,Tesla Parts Ltd,EV Battery,71,In Transit,8,Chicago,6330,17,2026-04-22 22:07:21.197928
S186,Tata Components,EV Battery,149,In Transit,6,Chicago,8215,30,2026-04-24 22:07:21.197928
S187,Continental Supply,Motor Controller,184,In Transit,11,Chicago,2218,79,2026-05-01 22:07:21.197928
S188,Tata Components,Tyre,103,Delivered,15,California,9696,73,2026-05-12 22:07:21.197928
S189,Tata Components,Motor Controller,410,Delayed,2,Chicago,1905,99,2026-04-23 22:07:21.197928
S190,Continental Supply,EV Battery,305,In Transit,15,New York,5336,49,2026-05-10 22:07:21.197928
S191,Tata Components,Tyre,240,Delivered,7,New York,9059,16,2026-04-26 22:07:21.197928
S192,Continental Supply,Tyre,135,Delivered,6,Chicago,4902,35,2026-05-03 22:07:21.197928
S193,Tata Components,Brake System,82,Delayed,10,Chicago,5703,64,2026-05-05 22:07:21.197928
S194,Bosch Mobility,Brake System,415,Delivered,10,Toronto,4715,21,2026-04-24 22:07:21.197928
S195,Mahindra Logistics,EV Battery,334,Delivered,12,New York,2296,61,2026-04-19 22:07:21.197928
S196,Continental Supply,Motor Controller,489,Delayed,9,Toronto,3846,33,2026-04-23 22:07:21.197928
S197,Tata Components,Motor Controller,284,Delayed,6,Dallas,6244,93,2026-04-19 22:07:21.197928
S198,Tesla Parts Ltd,Tyre,490,Delayed,11,Toronto,2617,59,2026-04-27 22:07:21.197928
S199,Tesla Parts Ltd,Brake System,408,Delayed,6,Chicago,9216,73,2026-05-11 22:07:21.197928
S200,Mahindra Logistics,Motor Controller,419,Delayed,10,Chicago,1069,11,2026-05-15 22:07:21.197928
S201,Bosch Mobility,Sensor Module,127,Delayed,14,California,5185,18,2026-04-17 22:07:21.197928
S202,Continental Supply,Motor Controller,99,Delivered,5,New York,3444,53,2026-04-25 22:07:21.197928
S203,Bosch Mobility,Sensor Module,156,Delayed,14,Chicago,4884,100,2026-04-30 22:07:21.197928
S204,Continental Supply,EV Battery,354,In Transit,12,Toronto,2047,54,2026-04-30 22:07:21.197928
S205,Bosch Mobility,Sensor Module,131,In Transit,15,Chicago,8179,100,2026-05-04 22:07:21.197928
S206,Bosch Mobility,Motor Controller,162,Delayed,1,Chicago,3333,35,2026-05-01 22:07:21.197928
S207,Mahindra Logistics,Sensor Module,306,In Transit,6,New York,6329,66,2026-04-26 22:07:21.197928
S208,Tata Components,EV Battery,121,In Transit,13,Toronto,2780,74,2026-05-11 22:07:21.197928
S209,Bosch Mobility,EV Battery,240,In Transit,5,Chicago,9905,87,2026-04-21 22:07:21.197928
S210,Continental Supply,EV Battery,450,In Transit,1,California,4824,15,2026-05-09 22:07:21.197928
S211,Tesla Parts Ltd,Tyre,209,Delivered,9,Chicago,6850,87,2026-05-02 22:07:21.197928
S212,Bosch Mobility,Brake System,498,In Transit,1,New York,8352,22,2026-04-25 22:07:21.197928
S213,Continental Supply,Sensor Module,421,Delivered,1,Toronto,2114,22,2026-04-26 22:07:21.197928
S214,Bosch Mobility,Motor Controller,447,Delayed,4,California,3574,29,2026-05-17 22:07:21.197928
S215,Tesla Parts Ltd,Tyre,304,In Transit,14,New York,1800,71,2026-05-12 22:07:21.199935
S216,Bosch Mobility,Tyre,486,Delayed,5,Dallas,8328,46,2026-05-09 22:07:21.199935
S217,Bosch Mobility,Sensor Module,270,Delayed,4,Dallas,8683,21,2026-04-25 22:07:21.199935
S218,Mahindra Logistics,EV Battery,475,Delivered,6,Toronto,9983,79,2026-04-22 22:07:21.199935
S219,Mahindra Logistics,Brake System,400,In Transit,14,New York,6255,95,2026-04-30 22:07:21.199935
S220,Continental Supply,Tyre,273,In Transit,3,California,2822,80,2026-05-04 22:07:21.199935
S221,Bosch Mobility,Motor Controller,79,Delayed,7,Dallas,1951,66,2026-04-30 22:07:21.199935
S222,Tata Components,Sensor Module,384,Delivered,9,New York,1067,96,2026-04-22 22:07:21.199935
S223,Bosch Mobility,Tyre,207,Delayed,15,Toronto,1002,42,2026-05-05 22:07:21.199935
S224,Mahindra Logistics,Tyre,410,In Transit,11,Chicago,1605,34,2026-05-13 22:07:21.199935
S225,Tesla Parts Ltd,Motor Controller,364,Delayed,7,California,4928,70,2026-05-10 22:07:21.199935
S226,Continental Supply,Brake System,83,Delivered,7,Dallas,9500,95,2026-05-07 22:07:21.199935
S227,Continental Supply,Motor Controller,99,Delayed,15,Dallas,9914,100,2026-05-17 22:07:21.199935
S228,Tata Components,Motor Controller,345,In Transit,4,Dallas,9991,11,2026-05-08 22:07:21.199935
S229,Tata Components,Motor Controller,174,Delivered,9,California,7314,34,2026-04-25 22:07:21.199935
S230,Continental Supply,Sensor Module,164,In Transit,7,New York,4625,25,2026-05-01 22:07:21.199935
S231,Mahindra Logistics,Tyre,306,In Transit,15,Toronto,5032,34,2026-05-09 22:07:21.199935
S232,Tata Components,Brake System,216,Delayed,11,New York,8608,74,2026-04-21 22:07:21.199935
S233,Mahindra Logistics,Motor Controller,127,In Transit,3,New York,1549,41,2026-04-21 22:07:21.199935
S234,Continental Supply,EV Battery,197,In Transit,13,Chicago,3143,23,2026-04-29 22:07:21.199935
S235,Tata Components,Tyre,245,Delivered,6,California,1390,93,2026-05-15 22:07:21.199935
S236,Bosch Mobility,Tyre,485,In Transit,13,Dallas,8681,26,2026-04-26 22:07:21.199935
S237,Continental Supply,Tyre,383,Delivered,10,California,9229,60,2026-05-05 22:07:21.199935
S238,Tata Components,Tyre,347,Delayed,12,New York,9971,34,2026-05-15 22:07:21.199935
S239,Mahindra Logistics,Motor Controller,410,In Transit,13,Dallas,8635,71,2026-05-09 22:07:21.199935
S240,Continental Supply,Tyre,127,Delivered,9,Toronto,5780,15,2026-04-17 22:07:21.199935
S241,Tata Components,Tyre,375,In Transit,5,Toronto,1870,96,2026-05-01 22:07:21.199935
S242,Bosch Mobility,Sensor Module,409,Delayed,6,Dallas,5924,43,2026-05-04 22:07:21.199935
S243,Tata Components,Sensor Module,338,Delivered,6,California,7863,74,2026-05-03 22:07:21.199935
S244,Tesla Parts Ltd,Sensor Module,144,Delayed,3,Toronto,9557,89,2026-04-19 22:07:21.199935
S245,Bosch Mobility,Motor Controller,51,Delivered,9,New York,4615,96,2026-05-10 22:07:21.199935
S246,Tata Components,EV Battery,115,Delayed,13,Toronto,8949,96,2026-05-03 22:07:21.199935
S247,Continental Supply,EV Battery,459,In Transit,14,Dallas,5503,92,2026-05-04 22:07:21.199935
S248,Tesla Parts Ltd,Motor Controller,287,Delivered,1,Dallas,9216,11,2026-05-12 22:07:21.199935
S249,Mahindra Logistics,Sensor Module,304,Delayed,9,New York,3941,88,2026-04-18 22:07:21.199935
S250,Bosch Mobility,Motor Controller,229,Delayed,6,California,3028,37,2026-05-06 22:07:21.199935
S251,Tata Components,Brake System,88,Delivered,1,Chicago,2143,77,2026-05-03 22:07:21.199935
S252,Tesla Parts Ltd,Tyre,143,In Transit,8,California,7773,15,2026-05-11 22:07:21.199935
S253,Mahindra Logistics,Tyre,199,In Transit,2,California,4340,26,2026-05-03 22:07:21.199935
S254,Mahindra Logistics,Motor Controller,495,In Transit,11,Toronto,4569,64,2026-05-04 22:07:21.199935
S255,Bosch Mobility,Brake System,243,Delayed,7,Chicago,8083,45,2026-05-17 22:07:21.199935
S256,Tata Components,Tyre,195,Delayed,5,California,2991,16,2026-04-27 22:07:21.199935
S257,Continental Supply,Tyre,117,Delayed,5,Chicago,2018,62,2026-04-23 22:07:21.199935
S258,Continental Supply,Brake System,111,In Transit,11,Chicago,8795,96,2026-05-07 22:07:21.199935
S259,Tesla Parts Ltd,Sensor Module,135,In Transit,8,California,9109,61,2026-05-11 22:07:21.199935
S260,Bosch Mobility,Sensor Module,138,Delayed,10,Dallas,3422,56,2026-05-01 22:07:21.199935
S261,Tata Components,Brake System,238,Delayed,5,California,4943,28,2026-04-19 22:07:21.199935
S262,Bosch Mobility,Tyre,71,Delayed,8,Chicago,9639,30,2026-05-10 22:07:21.199935
S263,Continental Supply,Sensor Module,248,Delivered,10,Chicago,8856,85,2026-05-04 22:07:21.199935
S264,Mahindra Logistics,Sensor Module,219,Delivered,14,Chicago,8054,69,2026-05-16 22:07:21.199935
S265,Bosch Mobility,Tyre,414,In Transit,12,Toronto,1484,31,2026-05-02 22:07:21.199935
S266,Tesla Parts Ltd,Brake System,454,Delayed,2,Toronto,6386,11,2026-05-16 22:07:21.199935
S267,Bosch Mobility,Sensor Module,341,Delivered,4,Toronto,5255,29,2026-05-07 22:07:21.199935
S268,Continental Supply,Motor Controller,450,In Transit,1,California,3207,27,2026-04-29 22:07:21.199935
S269,Tata Components,Tyre,126,In Transit,12,Toronto,6820,81,2026-05-04 22:07:21.199935
